Time*,C-2DPS-2 Instron Force (kN),C-2DPS-2 Extensometer (mm/mm)
228.5,6.17882791,0.001449219
229,6.177926688,0.001447967
229.5,6.177622704,0.00144828
230,6.177544026,0.001448549
230.5,6.177486806,0.001447654
231,6.177393823,0.001448727
231.5,6.176964669,0.001448861
232,6.176167159,0.00144828
232.5,6.175380377,0.001447431
233,6.175001292,0.001448191
233.5,6.174833207,0.001448817
234,6.174858241,0.00144837
234.5,6.174811749,0.001449443
235,6.174450545,0.001448638
235.5,6.173978476,0.001448236
236,6.173059372,0.001448012
236.5,6.172472863,0.001448414
237,6.17215815,0.001448727
237.5,6.172050862,0.001448683
238,6.172097353,0.001447878
238.5,6.172036557,0.001447386
239,6.171146063,0.001448057
239.5,6.170752673,0.001448727
240,6.169808535,0.001448593
240.5,6.16948667,0.00144837
241,6.169354348,0.001448057
241.5,6.169315008,0.001448191
242,6.16930428,0.00144761
242.5,6.168907313,0.001448683
243,6.168249277,0.001448102
243.5,6.167652039,0.00144837
244,6.167047648,0.00144828
244.5,6.166686443,0.001447833
245,6.166729359,0.001448549
245.5,6.16659346,0.001448817
246,6.166579155,0.001448459
246.5,6.166146425,0.001447923
247,6.165592102,0.001447789
247.5,6.165077118,0.001449353
248,6.164179472,0.001448683
248.5,6.163993505,0.00144837
249,6.163911251,0.001448593
249.5,6.163947014,0.00144904
250,6.163782505,0.001448549
250.5,6.16348925,0.001448236
251,6.163213877,0.00144837
251.5,6.162151722,0.001448146
252,6.161733297,0.001448459
252.5,6.161322025,0.001448638
253,6.161175398,0.001447878
253.5,6.161229042,0.001448459
254,6.161082414,0.001448683
254.5,6.160985855,0.001447878
255,6.160470871,0.001447967
255.5,6.160195497,0.001448414
256,6.159262088,0.001448102
256.5,6.158736375,0.001448504
257,6.158618358,0.001448772
257.5,6.158382324,0.001447699
258,6.158346561,0.001448727
258.5,6.158453849,0.001448325
259,6.158250002,0.00144837
259.5,6.158042577,0.001448906
260,6.157191423,0.001448951
260.5,6.156780151,0.001448414
261,6.155939725,0.001448638
261.5,6.155735877,0.001448772
262,6.155732301,0.001448549
262.5,6.155678657,0.001447878
263,6.155692962,0.001449309
263.5,6.155439046,0.001448414
264,6.155149368,0.00144913
264.5,6.15463796,0.001448817
265,6.154026416,0.001448861
265.5,6.153396991,0.001448146
266,6.153021482,0.00144837
266.5,6.153021482,0.001448102
267,6.152949956,0.001448593
267.5,6.152953533,0.001448817
268,6.152842668,0.001448236
268.5,6.152660278,0.00144904
269,6.152299073,0.001448861
269.5,6.151440767,0.00144761
270,6.150968698,0.001447073
270.5,6.150578883,0.001447252
271,6.150249866,0.001448102
271.5,6.150267747,0.001448146
272,6.150328544,0.00144837
272.5,6.150224832,0.001448504
273,6.150264171,0.001448593
273.5,6.149974492,0.001448772
274,6.149502423,0.00144828
274.5,6.149069694,0.001448861
275,6.14830437,0.00144761
275.5,6.147889522,0.00144904
276,6.147606996,0.001447789
276.5,6.147606996,0.001448772
277,6.147510436,0.001448102
277.5,6.147539046,0.001448593
278,6.147492555,0.001448504
278.5,6.147349503,0.001447654
279,6.147066977,0.001447699
279.5,6.146380332,0.001447833
280,6.145640042,0.001448325
280.5,6.145239499,0.001448236
281,6.145092871,0.001448012
281.5,6.144774583,0.001448593
282,6.144835379,0.00144828
282.5,6.144753125,0.00144828
283,6.144756701,0.001448459
283.5,6.144599345,0.001448459
284,6.144327548,0.001448683
284.5,6.14399853,0.001448325
285,6.143179562,0.00144913
285.5,6.142761138,0.001448727
286,6.142414239,0.001448593
286.5,6.142296221,0.001448638
287,6.142120984,0.001448414
287.5,6.142053034,0.001447476
288,6.141995814,0.001448593
288.5,6.142053034,0.001448638
289,6.141802695,0.001448012
289.5,6.141727593,0.00144828
290,6.141069558,0.001448727
290.5,6.140601065,0.001448727
291,6.140343573,0.00144752
291.5,6.139810708,0.001448057
292,6.139517453,0.001448325
292.5,6.139463809,0.001448504
293,6.139288571,0.001447923
293.5,6.139324334,0.00144761
294,6.139331486,0.001447923
294.5,6.139177706,0.00144837
295,6.138959553,0.00144828
295.5,6.13855901,0.001448325
296,6.137993958,0.001449353
296.5,6.137289431,0.001448191
297,6.137099888,0.001448593
297.5,6.136892464,0.001448102
298,6.136702921,0.001447833
298.5,6.136645701,0.001448817
299,6.136584904,0.001448102
299.5,6.136577751,0.001448191
300,6.136538412,0.001448727
300.5,6.136384632,0.001448191
