Time (sec),Instron Force (kN),Extensometer (mm/mm)
4381.5,9.997875351,0.154182167
4382,9.998225826,0.154216213
4382.5,9.998504776,0.154228167
4383,9.998086351,0.154248069
4383.5,9.997775215,0.154277296
4384,9.997900385,0.154282177
4384.5,9.997982639,0.154323671
4385,9.998744386,0.154325862
4385.5,9.998604911,0.154358093
4386,9.997871774,0.154372425
4386.5,9.998043436,0.154391826
4387,9.998690742,0.154420302
4387.5,9.999441761,0.15442581
4388,9.99852981,0.154465676
4388.5,9.998093504,0.154469181
4389,9.998354572,0.154501224
4389.5,9.998393911,0.154516433
4390,9.999062675,0.154533581
4390.5,9.999059099,0.154564811
4391,9.998143572,0.154566501
4391.5,9.998072046,0.15460693
4392,9.99876942,0.154612688
4392.5,10.00016417,0.154642791
4393,9.99981727,0.15465994
4393.5,9.998365301,0.154675774
4394,9.998533386,0.15470813
4394.5,9.999345201,0.154710321
4395,10.0000998,0.154753003
4395.5,10.00025715,0.154755194
4396,9.999166387,0.154784609
4396.5,9.998619217,0.154803635
4397,9.999609846,0.15481709
4397.5,9.99999966,0.154850824
4398,9.99997105,0.154853264
4398.5,9.999252218,0.154894883
4399,9.999102014,0.1548982
4399.5,9.999860185,0.154925675
4400,10.000461,0.154947142
4400.5,10.00064339,0.154957844
4401,10.00047173,0.154994393
4401.5,9.998805183,0.154995332
4402,10.0004467,0.1550362
4402.5,10.00054325,0.155042646
4403,10.00061836,0.155071185
4403.5,10.00053253,0.155089272
4404,9.999152082,0.155101852
4404.5,10.00010695,0.155136398
4405,10.00036444,0.155139152
4405.5,10.00050034,0.15517833
4406,10.00066485,0.155185402
4406.5,9.999488252,0.155208308
4407,10.00048961,0.155232904
4407.5,10.00072564,0.155240727
4408,10.00062551,0.155280594
4408.5,10.00065054,0.155282659
4409,10.00021066,0.15532021
4409.5,10.00047888,0.155328972
4410,10.00058975,0.155349563
4410.5,10.00066842,0.155376474
4411,10.00071134,0.155383984
4411.5,10.00053253,0.155423851
4412,10.00018205,0.155424351
4412.5,10.0006577,0.15546209
4413,10.00080075,0.155471853
4413.5,10.00069346,0.155493508
4414,10.00058617,0.155519105
4414.5,10.0005361,0.155525989
4415,10.00063981,0.155567921
4415.5,10.00087942,0.155567921
4416,10.00104751,0.155606599
4416.5,10.00067558,0.155615924
4417,10.00049676,0.155632759
4417.5,10.00069346,0.155661799
4418,10.00121917,0.15566693
4418.5,10.00140156,0.155708174
4419,10.00073995,0.155711491
4419.5,10.00057186,0.155741719
4420,10.00062193,0.155758304
4420.5,10.00104393,0.155778582
4421,10.00254239,0.155807371
4421.5,10.00089373,0.155811439
4422,10.00065412,0.15585312
4422.5,10.00090804,0.155854372
4423,10.00176277,0.155890484
4423.5,10.00234928,0.155902938
4424,10.00100817,0.155920086
4424.5,10.00070419,0.155952067
4425,10.00137295,0.155953381
4425.5,10.0022706,0.155995126
4426,10.00227775,0.15599838
4426.5,10.00165905,0.15602961
4427,10.00084366,0.156045882
4427.5,10.00164832,0.15606109
4428,10.00228848,0.156092382
4428.5,10.00321831,0.15609257
4429,10.00223126,0.156136129
4429.5,10.00121202,0.156142075
4430,10.00191297,0.156171177
4430.5,10.00242438,0.156187824
4431,10.00315394,0.156203533
4431.5,10.00297155,0.156236515
4432,10.00201311,0.156238393
4432.5,10.00227775,0.1562802
4433,10.00287141,0.156283141
4433.5,10.00321116,0.156313808
4434,10.00260677,0.156333647
4434.5,10.00181641,0.15634485
4435,10.0026175,0.156380461
4435.5,10.00303234,0.156382714
4436,10.00334706,0.156422267
4436.5,10.0033399,0.156427399
4437,10.00283565,0.156453309
4437.5,10.00238861,0.156474776
4438,10.00330057,0.15649061
4438.5,10.00342574,0.156522153
4439,10.00335421,0.156524218
4439.5,10.00335779,0.156567214
4440,10.00273909,0.156571094
4440.5,10.00323977,0.156597192
4441,10.00330057,0.156617094
4441.5,10.00330414,0.156630612
4442,10.00334706,0.156665472
4442.5,10.00323619,0.15666929
4443,10.00334348,0.156707654
4443.5,10.00334348,0.156713788
4444,10.00339355,0.156741137
4444.5,10.00346507,0.156761102
4445,10.00300731,0.156774933
4445.5,10.00342931,0.156810231
4446,10.00346865,0.156810544
4446.5,10.00364031,0.156854729
4447,10.00356879,0.15685717
4447.5,10.00338282,0.156887961
4448,10.00338282,0.156904296
4448.5,10.0033256,0.156919567
4449,10.00363674,0.156954114
4449.5,10.00355091,0.156956054
4450,10.0034758,0.156996171
4450.5,10.00340785,0.157002429
4451,10.00346865,0.157028339
4451.5,10.00399794,0.157049055
4452,10.00404801,0.157060383
4452.5,10.00349368,0.157096244
4453,10.00336136,0.157098622
4453.5,10.00370111,0.157138426
4454,10.00439491,0.157143934
4454.5,10.00420536,0.157173599
4455,10.00356521,0.15719106
4455.5,10.00336851,0.157204078
4456,10.00372614,0.157239876
4456.5,10.00473823,0.157239563
4457,10.00519599,0.157283498
4457.5,10.00435557,0.15728838
4458,10.00350084,0.157314227
4458.5,10.00447716,0.157335318
4459,10.00533189,0.157348086
4459.5,10.00567879,0.157383571
4460,10.00457014,0.157384385
4460.5,10.00375118,0.157426504
4461,10.0043055,0.157431073
4461.5,10.00550713,0.157457609
4462,10.00566091,0.1574787
4462.5,10.00452008,0.157490404
4463,10.00372257,0.157526202
4463.5,10.00463809,0.157527829
4464,10.00570383,0.157571326
4464.5,10.0059184,0.157575081
4465,10.00489559,0.157607938
4465.5,10.00400867,0.157621519
4466,10.00546421,0.157638229
4466.5,10.00600781,0.157670898
4467,10.00595416,0.1576719
4467.5,10.00572886,0.157712955
4468,10.00434842,0.157717837
4468.5,10.00509943,0.157744936
4469,10.00568952,0.157765339
4469.5,10.00572886,0.15777698
4470,10.00593628,0.15781428
4470.5,10.00517096,0.157814906
4471,10.00568594,0.157857276
4471.5,10.00607933,0.157861594
4472,10.00606145,0.157892449
4472.5,10.00604,0.157909534
4473,10.00588979,0.157924054
4473.5,10.00608649,0.157955034
4474,10.00612225,0.157958038
4474.5,10.00612583,0.15799997
4475,10.00601854,0.158003912
4475.5,10.00596489,0.15803508
4476,10.00572528,0.158053355
4476.5,10.00590052,0.15806825
4477,10.00606503,0.158100231
4477.5,10.00617589,0.158101858
4478,10.00605072,0.158144728
4478.5,10.00592198,0.158147545
4479,10.00609364,0.158178524
4479.5,10.00621166,0.158196424
4480,10.00622596,0.158211068
4480.5,10.00607218,0.158244364
4481,10.00602569,0.158245615
4481.5,10.00607576,0.158287359
4482,10.00613655,0.158291866
4482.5,10.00619378,0.158323471
4483,10.00613298,0.15833968
4483.5,10.00599708,0.158353261
4484,10.00609006,0.158386244
4484.5,10.00622596,0.158390499
4485,10.00651564,0.158432181
4485.5,10.00618662,0.15843531
4486,10.00609006,0.158465914
4486.5,10.00626888,0.15848325
4487,10.00661578,0.158498959
4487.5,10.00713076,0.158530502
4488,10.00746693,0.158534945
4488.5,10.00627245,0.158576063
4489,10.00636186,0.158577065
4489.5,10.006462,0.158611799
4490,10.0067481,0.15862707
4490.5,10.00670876,0.158644844
4491,10.00604,0.158674259
4491.5,10.00627961,0.158678452
4492,10.00648345,0.158719258
4492.5,10.00779237,0.158722575
4493,10.00729169,0.158756058
4493.5,10.00707354,0.158768136
4494,10.0067481,0.158788664
4494.5,10.00748481,0.158816202
4495,10.00847544,0.15882077
4495.5,10.00788178,0.15886483
4496,10.00731315,0.158865894
4496.5,10.00674095,0.158899502
4497,10.00698056,0.158912895
4497.5,10.00805702,0.158932672
4498,10.00801768,0.158961712
4498.5,10.00776734,0.158965654
4499,10.0066122,0.159008838
4499.5,10.00809636,0.159009714
4500,10.00857558,0.159048454
4500.5,10.0087687,0.159057967
4501,10.0084218,0.159077306
4501.5,10.00789251,0.159105344
4502,10.00865068,0.159114293
4502.5,10.00877585,0.159152783
4503,10.00879015,0.159155412
4503.5,10.00858273,0.159192149
4504,10.00736322,0.159200974
4504.5,10.0083002,0.159224255
4505,10.00856127,0.159247724
4505.5,10.00879015,0.159257863
4506,10.00871863,0.159296666
4506.5,10.00778164,0.159296666
4507,10.0085112,0.159335281
4507.5,10.00876154,0.159344856
4508,10.00876154,0.159370078
4508.5,10.00879731,0.159393672
4509,10.00840392,0.159404562
4509.5,10.00870075,0.159440611
4510,10.00874724,0.15943986
4510.5,10.00880804,0.159480352
4511,10.00874724,0.159487737
4511.5,10.00850763,0.159513835
4512,10.00874724,0.15953599
4512.5,10.00874724,0.159543876
4513,10.008783,0.159583242
4513.5,10.00881876,0.15958562
4514,10.00871505,0.159627677
4514.5,10.00871863,0.159631745
4515,10.00885095,0.159659408
4515.5,10.00905837,0.159679623
4516,10.00897612,0.159692202
4516.5,10.00874009,0.15972725
4517,10.00875081,0.159728501
4517.5,10.00884022,0.159768118
4518,10.00895109,0.159775378
4518.5,10.00910844,0.15980304
4519,10.00880088,0.159822817
4519.5,10.00851478,0.159833894
4520,10.00877585,0.159871946
4520.5,10.00887241,0.159873198
4521,10.00918712,0.159914003
4521.5,10.00879731,0.159918259
4522,10.00880088,0.159947361
4522.5,10.00889029,0.159967576
4523,10.00917997,0.159978403
4523.5,10.00979151,0.160014952
4524,10.00931944,0.160016392
4524.5,10.008783,0.16005895
4525,10.00891532,0.160061703
4525.5,10.00924792,0.160093935
4526,10.00979866,0.16010908
4526.5,10.0091299,0.160128169
4527,10.00882949,0.160158835
4527.5,10.00907268,0.160161088
4528,10.00968065,0.160203145
4528.5,10.01029934,0.160206462
4529,10.01076426,0.160236628
4529.5,10.00914063,0.160253151
4530,10.00949826,0.160271363
4530.5,10.01013841,0.160301278
4531,10.0111648,0.160304032
4531.5,10.01023855,0.160346214
4532,10.00978794,0.160348405
4532.5,10.00970926,0.160384203
4533,10.00979151,0.16039622
4533.5,10.01104321,0.160415058
4534,10.0101849,0.160443847
4534.5,10.00975575,0.160446976
4535,10.00977363,0.160490472
4535.5,10.01043524,0.160492287
4536,10.01129355,0.160528524
4536.5,10.01134004,0.1605386
4537,10.01071777,0.160559253
4537.5,10.01036014,0.160587667
4538,10.01078214,0.160594614
4538.5,10.0115117,0.160634543
4539,10.01148667,0.160636733
4539.5,10.01086082,0.160674472
4540,10.00998105,0.160683609
4540.5,10.01074995,0.160704575
4541,10.01131143,0.160731049
4541.5,10.01139726,0.160739685
4542,10.01061763,0.160777737
4542.5,10.01051392,0.160779302
4543,10.01126494,0.160819919
4543.5,10.01141514,0.160826365
4544,10.01151528,0.16085165
4544.5,10.01139726,0.160875432
4545,10.01032795,0.160882129
4545.5,10.01122202,0.160920493
4546,10.01153316,0.160923059
4546.5,10.0116476,0.160963239
4547,10.01155462,0.160971062
4547.5,10.01055326,0.160997097
4548,10.01141157,0.161016185
4548.5,10.01130428,0.161028577
4549,10.0116476,0.161065252
4549.5,10.01155462,0.161066566
4550,10.01091446,0.161108561
4550.5,10.01146163,0.161113067
4551,10.0115868,0.161143796
4551.5,10.01162614,0.161160068
4552,10.01149382,0.16117609
4552.5,10.01150455,0.16120976
4553,10.01156177,0.161210261
4553.5,10.01156535,0.161252318
4554,10.01177277,0.161256073
4554.5,10.01155104,0.161286928
4555,10.01132931,0.161304076
4555.5,10.01152601,0.161318345
4556,10.01159038,0.161352892
4556.5,10.01196947,0.161356397
4557,10.01187648,0.161398391
4557.5,10.01152243,0.161399956
4558,10.01154031,0.161435817
4558.5,10.0116476,0.161448334
4559,10.01184072,0.161467422
4559.5,10.01194801,0.161496587
4560,10.01157608,0.161497588
4560.5,10.01153674,0.161541773
4561,10.01180138,0.161543901
4561.5,10.01242723,0.161581765
4562,10.01251664,0.161591841
4562.5,10.01165475,0.161614998
4563,10.01156177,0.161639406
4563.5,10.01174774,0.161645977
4564,10.01234855,0.161687784
4564.5,10.01318182,0.161688848
4565,10.01218762,0.16172765
4565.5,10.01160469,0.161735286
4566,10.01203742,0.161757879
4566.5,10.01243438,0.16178116
4567,10.01309599,0.161793928
4567.5,10.01223053,0.161828162
4568,10.0115868,0.161831166
4568.5,10.01260247,0.161871658
4569,10.01210536,0.161877666
4569.5,10.01332488,0.161906831
4570,10.01240577,0.161925919
4570.5,10.01160111,0.161933742
4571,10.01211252,0.161973296
4571.5,10.01275982,0.161974047
4572,10.01391496,0.162013851
4572.5,10.01318898,0.162022363
4573,10.01184072,0.162048586
4573.5,10.01272406,0.16206855
4574,10.01246299,0.162079127
4574.5,10.01351799,0.162117554
4575,10.01368966,0.16211987
4575.5,10.01209821,0.162159549
4576,10.01280274,0.162165244
4576.5,10.01340355,0.162192406
4577,10.01382555,0.162212245
4577.5,10.01347508,0.162225763
4578,10.01250233,0.162259371
4578.5,10.01321759,0.162259747
4579,10.0133964,0.162304745
4579.5,10.01422967,0.162308814
4580,10.01420464,0.162341984
4580.5,10.01306023,0.162355815
4581,10.01326408,0.162372588
4581.5,10.01372184,0.162402566
4582,10.01429047,0.162406634
4582.5,10.0142404,0.162451257
4583,10.01376833,0.162450193
4583.5,10.01321759,0.162484364
4584,10.01395788,0.162499259
4584.5,10.01415457,0.162517346
4585,10.01421179,0.162546636
4585.5,10.01406874,0.162549765
4586,10.01369323,0.162593387
4586.5,10.01416888,0.162592949
4587,10.01424756,0.162628747
4587.5,10.01422967,0.162641828
4588,10.01411881,0.162657599
4588.5,10.01346077,0.16268983
4589,10.01418676,0.162694649
4589.5,10.01428689,0.162736018
4590,10.01439418,0.162737082
4590.5,10.01426186,0.162777825
4591,10.0133821,0.162784834
4591.5,10.01422252,0.162809493
4592,10.01430478,0.162833212
4592.5,10.01446213,0.162842788
4593,10.01435842,0.162881841
4593.5,10.01414027,0.162881403
4594,10.01424398,0.162920768
4594.5,10.01428689,0.162928779
4595,10.01478042,0.162953876
4595.5,10.01430835,0.162976281
4596,10.01410093,0.16298473
4596.5,10.01423325,0.163022156
4597,10.01443352,0.163025598
4597.5,10.01458373,0.163067968
4598,10.01434411,0.163072474
4598.5,10.01410808,0.163096757
4599,10.01421537,0.163120727
4599.5,10.01441922,0.163134183
4600,10.01456227,0.163167478
4600.5,10.01565661,0.16317067
4601,10.01429405,0.163213353
4601.5,10.01433696,0.163216482
4602,10.01434411,0.163246335
4602.5,10.01485195,0.163263546
4603,10.01476969,0.163277252
4603.5,10.01444425,0.163310547
4604,10.01440134,0.163312612
4604.5,10.01453008,0.163358425
4605,10.0148734,0.163359363
4605.5,10.01620378,0.163391219
4606,10.01560297,0.163406552
4606.5,10.01432981,0.163424514
4607,10.01512732,0.163455744
4607.5,10.01614656,0.163457747
4608,10.01652565,0.163499303
4608.5,10.01528468,0.163501994
4609,10.01454796,0.163536854
4609.5,10.01511659,0.163550059
4610,10.01601066,0.163572277
4610.5,10.01624312,0.163597937
4611,10.01627173,0.163605572
4611.5,10.01485552,0.163644125
4612,10.01510944,0.163646002
4612.5,10.01550283,0.163685368
4613,10.01638259,0.163693254
4613.5,10.01606073,0.163717286
4614,10.01534905,0.163741256
4614.5,10.01586761,0.163748829
4615,10.01648273,0.163789947
4615.5,10.01665081,0.163790823
4616,10.01681175,0.163830002
4616.5,10.01621093,0.163836573
4617,10.01581754,0.163860293
4617.5,10.01645054,0.163884263
4618,10.01692261,0.163896905
4618.5,10.01691546,0.163932766
4619,10.0167438,0.163934769
4619.5,10.01596775,0.163974385
4620,10.01660432,0.163980331
4620.5,10.01655068,0.164005865
4621,10.01695122,0.164029147
4621.5,10.0167438,0.164039661
4622,10.01661148,0.164075334
4622.5,10.01683678,0.164078526
4623,10.01693692,0.164119332
4623.5,10.01695122,0.164123462
4624,10.01694049,0.164156444
4624.5,10.01643266,0.164170714
4625,10.01653637,0.164186548
4625.5,10.01686539,0.164217778
4626,10.01695837,0.164221908
4626.5,10.01705493,0.164264278
4627,10.01599636,0.164265905
4627.5,10.01659002,0.164299513
4628,10.0170156,0.164315034
4628.5,10.0169548,0.164332934
4629,10.0169548,0.164362474
4629.5,10.01677598,0.164367606
4630,10.0169691,0.16440766
4630.5,10.01704063,0.1644091
4631,10.0171658,0.164445837
4631.5,10.01707282,0.164459355
4632,10.01689758,0.16447982
4632.5,10.01699056,0.16450548
4633,10.01703348,0.164513178
4633.5,10.01717295,0.164553483
4634,10.01719083,0.164554672
4634.5,10.01691904,0.164595415
4635,10.01707282,0.164603801
4635.5,10.017105,0.164626707
4636,10.01751627,0.164648674
4636.5,10.0171658,0.16466019
4637,10.01706209,0.164697678
4637.5,10.01695837,0.164698054
4638,10.01720156,0.164738922
4638.5,10.0179347,0.164745681
4639,10.01738753,0.164775722
4639.5,10.01707639,0.164793246
4640,10.01703348,0.164806701
4640.5,10.01702632,0.164840372
4641,10.01738395,0.164841373
4641.5,10.01707639,0.164884557
4642,10.01710143,0.164888875
4642.5,10.01692619,0.164919229
4643,10.01740183,0.16493644
4643.5,10.01790966,0.164952336
4644,10.01858558,0.164985569
4644.5,10.01763072,0.164989136
4645,10.01725878,0.165029754
4645.5,10.01799907,0.165032007
4646,10.01862134,0.165066491
4646.5,10.01861419,0.165080135
4647,10.01851763,0.165098597
4647.5,10.0171801,0.165127136
4648,10.01795616,0.165133707
4648.5,10.01775946,0.165174575
4649,10.01828875,0.165175013
4649.5,10.01844968,0.16521513
4650,10.01721229,0.165224706
4650.5,10.01806344,0.165247862
4651,10.01797046,0.165272771
4651.5,10.01897897,0.165281032
4652,10.01908984,0.165319584
4652.5,10.01802411,0.165321337
4653,10.01847114,0.165363018
4653.5,10.01888241,0.16536815
4654,10.01917567,0.16539719
4654.5,10.01886453,0.165416153
4655,10.01788463,0.165427856
4655.5,10.01830663,0.165463154
4656,10.01768078,0.165463655
4656.5,10.01900401,0.165508215
4657,10.01956548,0.165512408
4657.5,10.01840319,0.165544577
4658,10.01848902,0.165560161
4658.5,10.01959409,0.165574868
4659,10.01972284,0.165606974
4659.5,10.01966204,0.165610604
4660,10.01955475,0.165652786
4660.5,10.01905765,0.165656291
4661,10.01945462,0.16568846
4661.5,10.01972284,0.165702792
4662,10.01974072,0.165726824
4662.5,10.01958336,0.165751045
4663,10.01814212,0.165755488
4663.5,10.01948323,0.165796481
4664,10.01969065,0.165798046
4664.5,10.01968708,0.16583835
4665,10.01970496,0.165847112
4665.5,10.01882519,0.165870957
4666,10.01974787,0.165894364
4666.5,10.01975145,0.165904878
4667,10.01988735,0.165941428
4667.5,10.01985516,0.165942679
4668,10.01944389,0.165982609
4668.5,10.01962628,0.165989743
4669,10.01972999,0.166017218
4669.5,10.01976575,0.166036932
4670,10.01965131,0.166052266
4670.5,10.01904335,0.166084622
4671,10.01960124,0.166087814
4671.5,10.01974787,0.166130246
4672,10.01996245,0.16613275
4672.5,10.01992669,0.166169237
4673,10.01967277,0.166180001
4673.5,10.01979794,0.166196211
4674,10.01985158,0.166229443
4674.5,10.02050604,0.166233261
4675,10.02045955,0.166275318
4675.5,10.01967635,0.166277947
4676,10.01978364,0.166314621
4676.5,10.01968708,0.166324698
4677,10.0199553,0.166346227
4677.5,10.0196978,0.166371511
4678,10.01965489,0.166382839
4678.5,10.01959409,0.166418137
4679,10.01981225,0.166421954
4679.5,10.01990523,0.166461446
4680,10.02043094,0.166468267
4680.5,10.01992311,0.166493864
4681,10.01981582,0.166515769
4681.5,10.02020206,0.166528411
4682,10.02027001,0.166562458
4682.5,10.00728096,0.166564085
4683,9.981678383,0.166563772
4683.5,9.962495223,0.166570719
4684,9.947117224,0.166584738
4684.5,9.934128179,0.166602449
4685,9.923070325,0.166606204
4685.5,9.913360728,0.166610272
4686,9.904731167,0.1666119
4686.5,9.896913421,0.166609647
4687,9.88969649,0.166610961
4687.5,9.883166205,0.1666119
4688,9.876914869,0.166612338
4688.5,9.87115706,0.166612025
4689,9.865671049,0.166610022
4689.5,9.860599885,0.166610898
4690,9.855889926,0.166611149
4690.5,9.851473221,0.166611399
4691,9.846859821,0.166611399
4691.5,9.843165525,0.166610961
4692,9.838877567,0.166611524
4692.5,9.835319169,0.166610898
4693,9.831753619,0.166611274
4693.5,9.828005679,0.166609959
4694,9.824876435,0.166611461
4694.5,9.821743615,0.166611086
4695,9.81855715,0.166609834
4695.5,9.815599568,0.166611587
4696,9.812731392,0.16661021
4696.5,9.809988386,0.1666124
4697,9.807166702,0.166611211
4697.5,9.804523832,0.166610085
4698,9.801923877,0.166612463
4698.5,9.799427634,0.166610085
4699,9.797103053,0.166611837
4699.5,9.794810658,0.166613151
4700,9.792700654,0.166612275
4700.5,9.790347462,0.166612588
4701,9.788055068,0.166611712
4701.5,9.786109572,0.166614215
4702,9.784128313,0.166613276
4702.5,9.781943207,0.166615342
4703,9.779733067,0.166615217
4703.5,9.778216724,0.166616593
4704,9.776457195,0.166616719
4704.5,9.774114732,0.166620349
4705,9.772712831,0.16662354
4705.5,9.77100337,0.166624917
4706,9.768896941,0.16662498
4706.5,9.767670278,0.16663249
4707,9.765760545,0.16662861
4707.5,9.764065389,0.16663249
4708,9.762813691,0.16663612
4708.5,9.760585669,0.166636245
4709,9.759684447,0.166637497
4709.5,9.757663849,0.166640689
4710,9.756512288,0.166644256
4710.5,9.754781369,0.166642942
4711,9.75356901,0.166646697
4711.5,9.751952532,0.166650452
4712,9.75095475,0.166647135
4712.5,9.74926317,0.166649138
4713,9.748240355,0.166653831
4713.5,9.746584537,0.166654395
4714,9.74566901,0.166656898
4714.5,9.743938091,0.166656022
4715,9.743501785,0.16665621
4715.5,9.741502645,0.166656585
4716,9.740866067,0.166656961
4716.5,9.739035013,0.166657274
4717,9.738312604,0.166655709
4717.5,9.736921432,0.166657399
4718,9.735619666,0.166657148
4718.5,9.735172631,0.166659151
4719,9.733212831,0.166659026
4719.5,9.732823016,0.166658025
4720,9.731403233,0.166658525
4720.5,9.730137231,0.166658338
4721,9.729647281,0.166659026
4721.5,9.727826955,0.166658838
4722,9.727455022,0.166659089
4722.5,9.726242663,0.166657774
4723,9.724847914,0.166659589
4723.5,9.724508168,0.166659214
4724,9.722888113,0.166659276
4724.5,9.721933247,0.166660465
4725,9.72163284,0.166658963
4725.5,9.719919802,0.166658525
4726,9.719193817,0.166659965
4726.5,9.718753935,0.166660153
4727,9.717037321,0.166660027
4727.5,9.716393591,0.166659777
4728,9.716043116,0.166658838
4728.5,9.714301468,0.166659527
4729,9.713700653,0.166659402
4729.5,9.713403822,0.166658963
4730,9.711776615,0.166659714
4730.5,9.71102202,0.166658963
4731,9.71089685,0.166660778
4731.5,9.709548593,0.166657274
4732,9.70837915,0.166658588
4732.5,9.708207489,0.166658963
4733,9.707392097,0.166659464
4733.5,9.705897212,0.166659652
4734,9.705510974,0.166657962
4734.5,9.705206991,0.166657899
4735,9.703822971,0.166657962
4735.5,9.702907443,0.166659339
4736,9.702678561,0.166659527
4736.5,9.70198834,0.166659527
4737,9.70053637,0.166658525
4737.5,9.70014298,0.166659276
4738,9.699867606,0.166658588
4738.5,9.698733926,0.16665815
4739,9.697646737,0.166657336
4739.5,9.697360635,0.166660528
4740,9.6971246,0.166657148
4740.5,9.695976615,0.166657962
4741,9.694860816,0.1666584
4741.5,9.694589018,0.166658338
4742,9.694199204,0.166658588
4742.5,9.693201422,0.166658588
4743,9.692031979,0.166659026
4743.5,9.691913962,0.166659527
4744,9.691738724,0.166658275
4744.5,9.690587162,0.166658275
4745,9.689514279,0.166660027
4745.5,9.689106583,0.16665865
4746,9.689095854,0.166659276
4746.5,9.688187479,0.166659151
4747,9.68679273,0.166659026
4747.5,9.686452984,0.166659402
4748,9.686327814,0.16666034
4748.5,9.685923695,0.166660403
4749,9.684536099,0.166659527
4749.5,9.683817266,0.166658838
4750,9.683681368,0.166659777
4750.5,9.683520435,0.166658776
4751,9.682601332,0.166659402
4751.5,9.68126738,0.166659464
4752,9.680970548,0.166657712
4752.5,9.680931209,0.166657899
4753,9.680541395,0.166659714
4753.5,9.679182409,0.166658275
4754,9.678520797,0.166658525
4754.5,9.678288339,0.166658776
4755,9.678209661,0.166659589
4755.5,9.677805542,0.166659089
4756,9.676628946,0.166659527
4756.5,9.675613283,0.166659026
4757,9.675420164,0.166658963
4757.5,9.675359367,0.166660153
4758,9.67486584,0.166659026
4758.5,9.673846601,0.166659464
4759,9.673049091,0.166658463
4759.5,9.672737954,0.166658025
4760,9.672745107,0.166658338
4760.5,9.672298072,0.166658713
4761,9.671378968,0.166659464
4761.5,9.670281051,0.166658525
4762,9.67007005,0.166657774
4762.5,9.669930575,0.166657837
4763,9.66983044,0.166659777
4763.5,9.669007896,0.166659339
4764,9.668135283,0.166658838
4764.5,9.66749513,0.166659464
4765,9.667294858,0.166659151
4765.5,9.667141078,0.166659214
4766,9.666972993,0.166658338
4766.5,9.665946601,0.166659026
4767,9.664984582,0.166657712
4767.5,9.664533971,0.166658588
4768,9.664548276,0.166659777
4768.5,9.664523242,0.166658963
4769,9.663954613,0.166659589
4769.5,9.662985442,0.166659089
4770,9.662069914,0.1666584
4770.5,9.661873219,0.166658588
4771,9.661726592,0.166658525
4771.5,9.661665795,0.16665815
4772,9.661351082,0.166659589
4772.5,9.660095809,0.166658275
4773,9.659398434,0.166657211
4773.5,9.659072993,0.166659026
4774,9.65906584,0.166658963
4774.5,9.658944247,0.166660153
4775,9.658697483,0.166658463
4775.5,9.657553074,0.166658963
4776,9.656802056,0.166658776
4776.5,9.656337139,0.166659339
4777,9.656265614,0.166660528
4777.5,9.656247732,0.166659464
4778,9.656111834,0.166660027
4778.5,9.655532477,0.166658463
4779,9.654667017,0.166659402
4779.5,9.653858778,0.166657774
4780,9.65372288,0.166658901
4780.5,9.653608439,0.166657211
4781,9.653536913,0.166658776
4781.5,9.653215048,0.166657837
4782,9.652478334,0.166658525
4782.5,9.651645061,0.166657712
4783,9.650972721,0.166657274
4783.5,9.650929806,0.16665865
4784,9.650843975,0.16665865
4784.5,9.650815365,0.166659714
4785,9.650461313,0.166658713
4785.5,9.649527904,0.166659902
4786,9.648884174,0.166658212
4786.5,9.648344156,0.166657587
4787,9.648165342,0.16665815
4787.5,9.648115274,0.1666584
4788,9.648054477,0.166658776
4788.5,9.647757646,0.166658338
4789,9.647271272,0.166659777
4789.5,9.646323558,0.166659652
4790,9.64557254,0.1666584
4790.5,9.645368692,0.166659026
4791,9.645325777,0.166658087
4791.5,9.645354387,0.166658087
4792,9.645096895,0.166658838
4792.5,9.644682046,0.166659402
4793,9.64344823,0.166658087
4793.5,9.643058416,0.166658963
4794,9.642718669,0.1666584
4794.5,9.642707941,0.166658588
4795,9.642672178,0.166659026
4795.5,9.642597076,0.166658901
4796,9.642307397,0.166659089
4796.5,9.641431209,0.166658713
4797,9.640787479,0.166658275
4797.5,9.640272495,0.166658963
4798,9.639939901,0.16665865
4798.5,9.639861222,0.166658776
4799,9.639982816,0.166658588
4799.5,9.639739629,0.166658275
4800,9.639424916,0.166658838
4800.5,9.638849136,0.166657461
4801,9.637879964,0.166659089
4801.5,9.637390014,0.166659402
4802,9.637221929,0.16665815
4802.5,9.637243386,0.166657649
4803,9.637193318,0.166657712
4803.5,9.637132522,0.166658963
4804,9.636782046,0.166656773
4804.5,9.636363622,0.1666584
4805,9.635372992,0.166659589
4805.5,9.635001059,0.1666584
4806,9.63450038,0.166658212
4806.5,9.634432431,0.166659151
4807,9.634436007,0.16665815
4807.5,9.634475346,0.166659026
4808,9.6341356,0.166659965
4808.5,9.633899566,0.166658713
4809,9.633191462,0.166657148
4809.5,9.632497664,0.166659026
4810,9.631989833,0.166658588
4810.5,9.63180029,0.166659089
4811,9.631753798,0.166659214
4811.5,9.631735917,0.16665815
4812,9.631707307,0.166659777
4812.5,9.631632205,0.166658525
4813,9.630759593,0.166658713
4813.5,9.630273219,0.166657461
4814,9.629557963,0.166658963
4814.5,9.629200335,0.16665984
4815,9.629132386,0.166659026
4815.5,9.629042979,0.166658838
4816,9.629068013,0.166659527
4816.5,9.62897503,0.166658087
4817,9.628671046,0.166658025
4817.5,9.628152485,0.166658588
