Time (sec),Instron Force (kN),Extensometer (mm/mm)
390.5,6.948178485,0.001864211
391,6.950774863,0.001875413
391.5,6.953092292,0.001908395
392,6.956139282,0.001910023
392.5,6.959665493,0.001912151
393,6.962329821,0.001930676
393.5,6.964557842,0.001958839
394,6.966067032,0.001958651
394.5,6.969310717,0.001960341
395,6.971742587,0.001986251
395.5,6.974861102,0.002005903
396,6.976581292,0.002007217
396.5,6.978280024,0.002011911
397,6.980736928,0.002044705
397.5,6.983286815,0.002054469
398,6.984720903,0.002055157
398.5,6.98634811,0.00207193
399,6.986387449,0.002100594
399.5,6.98753901,0.002102346
400,6.98901959,0.00210535
400.5,6.989227014,0.002140085
401,6.989309269,0.002150161
401.5,6.98876925,0.002150286
402,6.988379436,0.002178387
402.5,6.98812552,0.002198226
403,6.986455398,0.002198289
403.5,6.984756666,0.002226264
404,6.980701165,0.002245352
404.5,6.977604108,0.00224942
405,6.974560694,0.00229129
405.5,6.972203927,0.00229348
406,6.96927853,0.00232496
406.5,6.966657118,0.002341671
407,6.965487675,0.002354563
407.5,6.966696457,0.002390925
408,6.967415289,0.002393115
408.5,6.968963818,0.002432982
409,6.969993786,0.002437238
409.5,6.971452908,0.002465714
410,6.974496321,0.002486617
410.5,6.976738648,0.002497006
411,6.978748517,0.002528987
411.5,6.98081203,0.002533744
412,6.981931405,0.002561594
412.5,6.983812528,0.002580807
413,6.986333805,0.002583123
413.5,6.987217145,0.002624179
414,6.988719183,0.002627433
414.5,6.989284235,0.002641828
415,6.991487222,0.002675373
415.5,6.993014293,0.002675248
416,6.994519907,0.002697153
416.5,6.995152908,0.002722875
417,6.996286589,0.002724565
417.5,6.998546797,0.002753166
418,7.000266987,0.002771441
418.5,7.002770382,0.002772442
419,7.003292519,0.002808491
419.5,7.004336792,0.002820883
420,7.006346661,0.002825389
420.5,7.008256394,0.002861751
421,7.010698993,0.002867509
421.5,7.011138875,0.002880401
422,7.011964995,0.002914573
422.5,7.014189441,0.002915887
423,7.016106326,0.002930657
423.5,7.017787177,0.002962137
424,7.018831451,0.002964703
424.5,7.019339282,0.002996058
425,7.021002252,0.003010766
425.5,7.022450645,0.00301377
426,7.024070699,0.003052322
426.5,7.024725158,0.003057454
427,7.024750192,0.003066967
427.5,7.026459654,0.003105957
428,7.027389486,0.003106708
428.5,7.028415878,0.003131367
429,7.029746254,0.003153459
429.5,7.029545982,0.003157527
430,7.030100306,0.003194765
430.5,7.030829867,0.003202275
431,7.032589396,0.003216607
431.5,7.032832583,0.003249214
432,7.032972058,0.003250779
432.5,7.033501347,0.003282259
433,7.03494974,0.003297342
433.5,7.035575589,0.003305478
434,7.035958251,0.003343717
434.5,7.036187132,0.003346346
435,7.036301573,0.003373007
435.5,7.037324389,0.003393597
436,7.038225611,0.003399042
436.5,7.038286408,0.003437344
437,7.037835797,0.003439222
437.5,7.03741022,0.003475145
438,7.037163457,0.003488476
438.5,7.037953814,0.003503809
439,7.038175543,0.003535853
439.5,7.037199219,0.0035433
440,7.035675724,0.003582416
440.5,7.035446843,0.003585044
441,7.035625657,0.003622345
441.5,7.035167893,0.003630919
442,7.033254584,0.00366459
442.5,7.032435616,0.003678797
443,7.032020767,0.003704206
443.5,7.031577309,0.003727675
444,7.03123041,0.003752146
444.5,7.030239781,0.003774739
445,7.02827998,0.003792889
445.5,7.028887947,0.003821302
446,7.029807051,0.003840641
446.5,7.030032356,0.003870431
447,7.030161102,0.003889645
447.5,7.029002388,0.003919373
448,7.030025204,0.003937147
448.5,7.030107458,0.003966562
449,7.031416376,0.00398371
449.5,7.032288988,0.00401469
450,7.030851324,0.004031337
450.5,7.032303293,0.004061441
451,7.032775362,0.004076211
